Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     575,       0,     319
       2,      16,       0,       1,       0,       0
       3,      16,       0,       1,       0,       0
       4,      16,       0,       0,       0,       1
       5,       7,       9,       0,       1,       0
       6,      16,       0,       1,       0,       0
       7,      16,       0,       0,       0,       1
       8,      16,       0,       1,       0,       0
       9,      16,       0,       0,       0,       1
      10,       6,      10,       0,       0,       1
      11,      16,       0,       1,       0,       0
      12,      16,       0,       1,       0,       0
      13,       0,      16,       0,       1,       0
      14,      16,       0,       1,       0,       0
      15,       0,      16,       0,       1,       0
      16,       0,      16,       0,       1,       0
      17,      16,       0,       0,       0,       1
      18,      16,       0,       1,       0,       0
      19,      16,       0,       1,       0,       0
      20,      16,       0,       1,       0,       0
      21,      16,       0,       0,       0,       1
      22,      16,       0,       1,       0,       0
      23,       0,      16,       0,       1,       0
      24,      16,       0,       0,       0,       1
      25,      16,       0,       1,       0,       0
      26,      16,       0,       0,       0,       1
      27,      16,       0,       1,       0,       0
      28,      16,       0,       0,       0,       1
      29,       0,      16,       0,       1,       0
      30,       0,      16,       0,       1,       0
      31,       0,      16,       0,       1,       0
      32,      16,       0,       1,       0,       0
      33,      16,       0,       1,       0,       0
      34,       0,      16,       0,       1,       0
      35,      16,       0,       0,       0,       1
      36,      16,       0,       1,       0,       0
      37,      16,       0,       1,       0,       0
      38,       0,      16,       0,       1,       0
      39,      16,       0,       1,       0,       0
      40,      16,       0,       1,       0,       0
      41,      16,       0,       1,       0,       0
      42,      16,       0,       1,       0,       0
      43,      16,       0,       1,       0,       0
      44,      16,       0,       0,       0,       1
      45,       0,      16,       0,       1,       0
      46,      16,       0,       0,       0,       1
      47,       0,      16,       0,       1,       0
      48,      16,       0,       1,       0,       0
      49,       0,      16,       0,       1,       0
      50,       0,      16,       0,       1,       0
      51,      16,       0,       1,       0,       0
      52,      16,       0,       0,       0,       1
      53,      16,       0,       0,       0,       1
      54,      16,       0,       0,       0,       1
      55,       0,      16,       0,       1,       0
      56,      16,       0,       1,       0,       0
      57,       0,      16,       0,       1,       0
      58,      16,       0,       1,       0,       0
      59,       0,      16,       0,       1,       0
      60,      16,       0,       1,       0,       0
      61,      16,       0,       1,       0,       0
      62,      16,       0,       1,       0,       0
      63,       0,      16,       0,       1,       0
      64,      16,       0,       1,       0,       0
      65,      16,       0,       1,       0,       0
      66,      16,       0,       1,       0,       0
      67,      16,       0,       1,       0,       0
      68,      16,       0,       0,       0,       1
      69,      16,       0,       0,       0,       1
      70,      16,       0,       1,       0,       0
      71,      16,       0,       1,       0,       0
      72,       0,      16,       0,       1,       0
      73,      16,       0,       1,       0,       0
      74,      16,       0,       0,       0,       1
      75,      16,       0,       0,       0,       1
      76,      16,       0,       0,       0,       1
