Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     783,       0,     383
       2,       0,      16,       0,       1,       0
       3,      16,       0,       1,       0,       0
       4,      16,       0,       0,       0,       1
       5,       7,       9,       0,       1,       0
       6,      16,       0,       1,       0,       0
       7,      16,       0,       0,       0,       1
       8,      16,       0,       1,       0,       0
       9,       0,      16,       0,       1,       0
      10,       6,      10,       1,       0,       0
      11,       0,      16,       0,       1,       0
      12,      16,       0,       1,       0,       0
      13,      16,       0,       1,       0,       0
      14,      16,       0,       1,       0,       0
      15,       0,      16,       0,       1,       0
      16,      16,       0,       1,       0,       0
      17,      16,       0,       1,       0,       0
      18,      16,       0,       0,       0,       1
      19,      16,       0,       0,       0,       1
      20,       0,      16,       0,       1,       0
      21,      16,       0,       1,       0,       0
      22,      16,       0,       1,       0,       0
      23,      16,       0,       1,       0,       0
      24,      16,       0,       0,       0,       1
      25,       0,      16,       0,       1,       0
      26,      16,       0,       0,       0,       1
      27,      16,       0,       1,       0,       0
      28,       0,      16,       0,       1,       0
      29,       0,      16,       0,       1,       0
      30,      16,       0,       1,       0,       0
      31,      16,       0,       0,       0,       1
      32,      16,       0,       1,       0,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       1,       0,       0
      35,       0,      16,       0,       1,       0
      36,      16,       0,       1,       0,       0
      37,      16,       0,       1,       0,       0
      38,      16,       0,       0,       0,       1
      39,      16,       0,       1,       0,       0
      40,      16,       0,       1,       0,       0
      41,      16,       0,       0,       0,       1
      42,      16,       0,       1,       0,       0
      43,      16,       0,       1,       0,       0
      44,      16,       0,       0,       0,       1
      45,       0,      16,       0,       1,       0
      46,      16,       0,       1,       0,       0
      47,      16,       0,       1,       0,       0
      48,      16,       0,       0,       0,       1
      49,      16,       0,       0,       0,       1
      50,      16,       0,       1,       0,       0
      51,      16,       0,       0,       0,       1
      52,      16,       0,       1,       0,       0
      53,       0,      16,       0,       1,       0
      54,       0,      16,       0,       1,       0
      55,      16,       0,       1,       0,       0
      56,      16,       0,       1,       0,       0
      57,      16,       0,       1,       0,       0
      58,      16,       0,       1,       0,       0
      59,      16,       0,       0,       0,       1
      60,      16,       0,       0,       0,       1
      61,      16,       0,       1,       0,       0
      62,      16,       0,       1,       0,       0
      63,      16,       0,       0,       0,       1
      64,       0,      16,       0,       1,       0
      65,       0,      16,       0,       1,       0
      66,      16,       0,       0,       0,       1
      67,      16,       0,       1,       0,       0
      68,       0,      16,       0,       1,       0
      69,       0,      16,       0,       1,       0
      70,       0,      16,       0,       1,       0
      71,      16,       0,       0,       0,       1
      72,      16,       0,       1,       0,       0
      73,      16,       0,       1,       0,       0
      74,      16,       0,       0,       0,       1
      75,      16,       0,       0,       0,       1
      76,      16,       0,       1,       0,       0
      77,       0,      16,       0,       1,       0
      78,      16,       0,       1,       0,       0
      79,       0,      16,       0,       1,       0
      80,      16,       0,       1,       0,       0
      81,       0,      16,       0,       1,       0
      82,      16,       0,       1,       0,       0
      83,      16,       0,       0,       0,       1
      84,       0,      16,       0,       1,       0
      85,      16,       0,       1,       0,       0
      86,      16,       0,       1,       0,       0
      87,      16,       0,       0,       0,       1
      88,      16,       0,       1,       0,       0
      89,      16,       0,       1,       0,       0
      90,      16,       0,       1,       0,       0
      91,       0,      16,       0,       1,       0
      92,      16,       0,       1,       0,       0
      93,      16,       0,       1,       0,       0
      94,       0,      16,       0,       1,       0
      95,      16,       0,       1,       0,       0
      96,       0,      16,       0,       1,       0
      97,       0,      16,       0,       1,       0
      98,      16,       0,       1,       0,       0
      99,      16,       0,       0,       0,       1
     100,      16,       0,       1,       0,       0
     101,       0,      16,       0,       1,       0
