Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     594,       0,     300
       2,      16,       0,       1,       0,       0
       3,      16,       0,       0,       0,       1
       4,       0,      16,       0,       1,       0
       5,       7,       9,       0,       1,       0
       6,       0,      16,       0,       1,       0
       7,      16,       0,       1,       0,       0
       8,      16,       0,       0,       0,       1
       9,      16,       0,       0,       0,       1
      10,       6,      10,       1,       0,       0
      11,      16,       0,       1,       0,       0
      12,      16,       0,       1,       0,       0
      13,       0,      16,       0,       1,       0
      14,       0,      16,       0,       1,       0
      15,      16,       0,       1,       0,       0
      16,      16,       0,       1,       0,       0
      17,      16,       0,       0,       0,       1
      18,      16,       0,       1,       0,       0
      19,      16,       0,       0,       0,       1
      20,      16,       0,       1,       0,       0
      21,       0,      16,       0,       1,       0
      22,       0,      16,       0,       1,       0
      23,       0,      16,       0,       1,       0
      24,      16,       0,       1,       0,       0
      25,       0,      16,       0,       1,       0
      26,      16,       0,       1,       0,       0
      27,      16,       0,       1,       0,       0
      28,      16,       0,       1,       0,       0
      29,      16,       0,       0,       0,       1
      30,      16,       0,       1,       0,       0
      31,      16,       0,       0,       0,       1
      32,      16,       0,       1,       0,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       1,       0,       0
      35,      16,       0,       1,       0,       0
      36,      16,       0,       0,       0,       1
      37,      16,       0,       1,       0,       0
      38,      16,       0,       1,       0,       0
      39,       0,      16,       0,       1,       0
      40,      16,       0,       1,       0,       0
      41,      16,       0,       1,       0,       0
      42,       0,      16,       0,       1,       0
      43,      16,       0,       1,       0,       0
      44,      16,       0,       1,       0,       0
      45,       0,      16,       0,       1,       0
      46,      16,       0,       1,       0,       0
      47,      16,       0,       1,       0,       0
      48,      16,       0,       1,       0,       0
      49,      16,       0,       1,       0,       0
      50,      16,       0,       0,       0,       1
      51,      16,       0,       1,       0,       0
      52,      16,       0,       1,       0,       0
      53,       0,      16,       0,       1,       0
      54,      16,       0,       1,       0,       0
      55,      16,       0,       1,       0,       0
      56,      16,       0,       1,       0,       0
      57,      16,       0,       0,       0,       1
      58,      16,       0,       1,       0,       0
      59,      16,       0,       1,       0,       0
      60,      16,       0,       1,       0,       0
      61,       0,      16,       0,       1,       0
      62,      16,       0,       1,       0,       0
      63,      16,       0,       1,       0,       0
      64,      16,       0,       0,       0,       1
      65,      16,       0,       1,       0,       0
      66,      16,       0,       1,       0,       0
      67,      16,       0,       1,       0,       0
      68,      16,       0,       1,       0,       0
      69,      16,       0,       1,       0,       0
      70,      16,       0,       1,       0,       0
      71,      16,       0,       0,       0,       1
