Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     782,       0,     375
       2,      16,       0,       0,       0,       1
       3,       0,      16,       0,       1,       0
       4,       0,      16,       0,       1,       0
       5,       7,       9,       0,       1,       0
       6,      16,       0,       0,       0,       1
       7,      16,       0,       1,       0,       0
       8,      16,       0,       1,       0,       0
       9,      16,       0,       1,       0,       0
      10,       6,      10,       1,       0,       0
      11,      16,       0,       1,       0,       0
      12,      16,       0,       1,       0,       0
      13,      16,       0,       0,       0,       1
      14,      16,       0,       0,       0,       1
      15,      16,       0,       1,       0,       0
      16,      16,       0,       1,       0,       0
      17,       0,      16,       0,       1,       0
      18,      16,       0,       1,       0,       0
      19,       7,       9,       0,       1,       0
      20,       0,      16,       0,       1,       0
      21,      16,       0,       1,       0,       0
      22,      16,       0,       0,       0,       1
      23,      16,       0,       0,       0,       1
      24,       0,      16,       0,       1,       0
      25,      16,       0,       0,       0,       1
      26,       0,      16,       0,       1,       0
      27,      16,       0,       1,       0,       0
      28,      16,       0,       1,       0,       0
      29,      16,       0,       1,       0,       0
      30,      16,       0,       1,       0,       0
      31,      16,       0,       0,       0,       1
      32,       0,      16,       0,       1,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       1,       0,       0
      35,       0,      16,       0,       1,       0
      36,      16,       0,       1,       0,       0
      37,       0,      16,       0,       1,       0
      38,      16,       0,       1,       0,       0
      39,      16,       0,       1,       0,       0
      40,       0,      16,       0,       1,       0
      41,       0,      16,       0,       1,       0
      42,      16,       0,       1,       0,       0
      43,      16,       0,       1,       0,       0
      44,      16,       0,       1,       0,       0
      45,      16,       0,       1,       0,       0
      46,      16,       0,       0,       0,       1
      47,      16,       0,       1,       0,       0
      48,      16,       0,       0,       0,       1
      49,      16,       0,       1,       0,       0
      50,       0,      16,       0,       1,       0
      51,      16,       0,       1,       0,       0
      52,      16,       0,       1,       0,       0
      53,      16,       0,       1,       0,       0
      54,      16,       0,       1,       0,       0
      55,       0,      16,       0,       1,       0
      56,      16,       0,       1,       0,       0
      57,       0,      16,       0,       1,       0
      58,      16,       0,       1,       0,       0
      59,       0,      16,       0,       1,       0
      60,      16,       0,       0,       0,       1
      61,       0,      16,       0,       1,       0
      62,      16,       0,       1,       0,       0
      63,      16,       0,       1,       0,       0
      64,      16,       0,       1,       0,       0
      65,       0,      16,       0,       1,       0
      66,      16,       0,       1,       0,       0
      67,      16,       0,       0,       0,       1
      68,      16,       0,       0,       0,       1
      69,       0,      16,       0,       1,       0
      70,      16,       0,       1,       0,       0
      71,      16,       0,       0,       0,       1
      72,      16,       0,       1,       0,       0
      73,      16,       0,       1,       0,       0
      74,      16,       0,       1,       0,       0
      75,       0,      16,       0,       1,       0
      76,      16,       0,       1,       0,       0
      77,      16,       0,       1,       0,       0
      78,       0,      16,       0,       1,       0
      79,      16,       0,       0,       0,       1
      80,      16,       0,       1,       0,       0
      81,      16,       0,       1,       0,       0
      82,      16,       0,       1,       0,       0
      83,      16,       0,       1,       0,       0
      84,       0,      16,       0,       1,       0
      85,      16,       0,       1,       0,       0
      86,      16,       0,       0,       0,       1
      87,      16,       0,       0,       0,       1
      88,      16,       0,       1,       0,       0
      89,      16,       0,       0,       0,       1
      90,      16,       0,       1,       0,       0
      91,      16,       0,       0,       0,       1
      92,      16,       0,       0,       0,       1
      93,      16,       0,       1,       0,       0
      94,      16,       0,       1,       0,       0
      95,      16,       0,       1,       0,       0
      96,      16,       0,       1,       0,       0
