Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     553,       0,     282
       2,      16,       0,       0,       0,       1
       3,       0,      16,       0,       1,       0
       4,      16,       0,       1,       0,       0
       5,       7,       9,       0,       1,       0
       6,       0,      16,       0,       1,       0
       7,       0,      16,       0,       1,       0
       8,      16,       0,       1,       0,       0
       9,      16,       0,       1,       0,       0
      10,       6,      10,       1,       0,       0
      11,      16,       0,       0,       0,       1
      12,      16,       0,       1,       0,       0
      13,       0,      16,       0,       1,       0
      14,      16,       0,       0,       0,       1
      15,      16,       0,       1,       0,       0
      16,      16,       0,       1,       0,       0
      17,      16,       0,       1,       0,       0
      18,      16,       0,       1,       0,       0
      19,      16,       0,       0,       0,       1
      20,       0,      16,       0,       1,       0
      21,      16,       0,       1,       0,       0
      22,       0,      16,       0,       1,       0
      23,      16,       0,       1,       0,       0
      24,      16,       0,       1,       0,       0
      25,      16,       0,       1,       0,       0
      26,       0,      16,       0,       1,       0
      27,      16,       0,       0,       0,       1
      28,      16,       0,       1,       0,       0
      29,      16,       0,       1,       0,       0
      30,      16,       0,       0,       0,       1
      31,      16,       0,       1,       0,       0
      32,       0,      16,       0,       1,       0
      33,      16,       0,       1,       0,       0
      34,       0,      16,       0,       1,       0
      35,      16,       0,       1,       0,       0
      36,      16,       0,       1,       0,       0
      37,       0,      16,       0,       1,       0
      38,      16,       0,       0,       0,       1
      39,       0,      16,       0,       1,       0
      40,       0,      16,       0,       1,       0
      41,       5,      11,       0,       1,       0
      42,      16,       0,       1,       0,       0
      43,      16,       0,       0,       0,       1
      44,      16,       0,       1,       0,       0
      45,       0,      16,       0,       1,       0
      46,      16,       0,       1,       0,       0
      47,       0,      16,       0,       1,       0
      48,      16,       0,       1,       0,       0
      49,      16,       0,       1,       0,       0
      50,      16,       0,       1,       0,       0
      51,       0,      16,       0,       1,       0
      52,      16,       0,       1,       0,       0
      53,      16,       0,       1,       0,       0
      54,      16,       0,       1,       0,       0
      55,      16,       0,       0,       0,       1
      56,      16,       0,       1,       0,       0
      57,      16,       0,       0,       0,       1
      58,       0,      16,       0,       1,       0
      59,       0,      16,       0,       1,       0
      60,      16,       0,       0,       0,       1
      61,      16,       0,       1,       0,       0
      62,       0,      16,       0,       1,       0
      63,      16,       0,       0,       0,       1
      64,       0,      16,       0,       1,       0
      65,       0,      16,       0,       1,       0
      66,       0,      16,       0,       1,       0
      67,       0,      16,       0,       1,       0
      68,      16,       0,       1,       0,       0
      69,      16,       0,       1,       0,       0
      70,      16,       0,       1,       0,       0
      71,       0,      16,       0,       1,       0
      72,      16,       0,       1,       0,       0
      73,      16,       0,       1,       0,       0
      74,       0,      16,       0,       1,       0
      75,      16,       0,       1,       0,       0
      76,      16,       0,       0,       0,       1
      77,       0,      16,       0,       1,       0
      78,      16,       0,       0,       0,       1
      79,      16,       0,       1,       0,       0
      80,       0,      16,       0,       1,       0
      81,      16,       0,       1,       0,       0
